town_name,bachelors_degree_pct,poverty_pct,unemployment_pct,median_household_income,income_10yr_change_pct,population,population_10yr_change_pct
Easton,52.1,6.6,4.6,121458.0,29.3,25162.0,7.5
Edgartown,44.9,5.9,8.8,89710.0,34.5,5212.0,26.0
Egremont,61.0,7.5,3.4,97500.0,76.0,1232.0,12.3
Erving,25.1,6.0,4.6,74550.0,36.2,1639.0,-8.1
Essex,68.7,6.0,1.0,152371.0,105.3,3680.0,3.8
Everett,23.5,15.4,5.4,79658.0,61.4,49236.0,17.0
Fairhaven,30.5,7.6,4.9,92500.0,53.3,15878.0,-0.5
Fall River,16.8,20.9,8.1,53933.0,62.4,93764.0,5.6
Falmouth,51.8,9.0,5.6,92862.0,50.5,32841.0,4.0
Fitchburg,24.5,15.5,6.9,70659.0,55.8,41633.0,3.2
Florida,22.4,5.2,8.1,90078.0,65.7,774.0,0.0
Foxborough,58.3,4.8,6.5,108559.0,18.5,18516.0,9.0
Framingham,49.4,11.0,4.4,98179.0,,72013.0,
Franklin,56.4,5.5,5.1,142788.0,43.9,33067.0,3.1
Freetown,38.9,3.4,5.9,144722.0,69.5,9222.0,3.4
Gardner,22.8,14.3,5.7,62948.0,28.9,21075.0,4.1
Georgetown,53.4,3.2,1.6,152014.0,41.0,8454.0,1.9
Gill,46.1,6.7,7.2,90000.0,20.7,1831.0,19.5
Gloucester,38.8,10.6,6.4,87898.0,43.0,29862.0,2.8
Goshen,43.5,10.2,1.7,93125.0,35.5,965.0,-12.4
Gosnold,74.5,3.9,0.0,,,51.0,-62.2
Grafton,53.6,6.4,4.6,124548.0,43.0,19771.0,10.5
Granby,37.4,4.6,3.4,110188.0,50.5,6088.0,-2.7
Granville,35.5,10.2,5.0,89643.0,21.5,1680.0,1.4
Great Barrington,48.4,4.1,3.5,82484.0,64.5,7184.0,1.9
Greenfield,37.8,15.6,6.5,53961.0,,17662.0,
Groton,65.7,4.3,5.1,189180.0,61.5,11265.0,3.9
Groveland,45.5,4.2,2.6,135521.0,39.0,6747.0,1.1
Hadley,63.2,3.1,3.6,117580.0,60.5,5299.0,0.9
Halifax,32.9,3.1,1.5,106851.0,57.7,7734.0,2.5
Hamilton,68.5,6.1,2.5,126331.0,19.3,7571.0,-5.3
Hampden,37.7,2.0,6.6,110703.0,37.4,4937.0,-4.3
Hancock,37.8,15.4,1.2,93125.0,17.2,798.0,11.8
Hanover,56.5,5.7,6.8,174821.0,76.1,14800.0,5.5
Hanson,39.0,2.6,4.8,111897.0,20.9,10615.0,3.6
Hardwick,26.5,8.2,3.3,81250.0,39.9,2671.0,-10.2
Harvard,64.2,4.4,5.5,200688.0,46.0,6881.0,5.2
Harwich,46.6,4.5,5.1,87948.0,39.8,13506.0,10.5
Hatfield,48.7,7.9,3.7,100381.0,70.6,3324.0,1.2
Haverhill,31.6,10.6,5.9,87675.0,45.1,67387.0,9.9
Hawley,47.0,9.4,1.2,99375.0,55.9,360.0,-11.1
Heath,44.2,6.4,2.5,93750.0,74.4,782.0,31.9
Hingham,75.3,3.3,2.6,181017.0,69.4,24185.0,8.3
Hinsdale,22.5,9.1,3.7,76129.0,17.5,1825.0,-21.2
Holbrook,36.9,6.6,3.6,107768.0,71.3,11320.0,4.3
Holden,57.6,4.0,5.5,142880.0,50.0,19885.0,13.4
Holland,34.2,5.0,5.8,86806.0,28.3,2576.0,5.5
Holliston,65.7,3.2,5.0,154684.0,40.2,14964.0,8.3
Holyoke,24.3,23.7,6.9,51892.0,64.1,37949.0,-5.2
Hopedale,48.4,4.2,3.1,115216.0,28.9,6024.0,1.6
Hopkinton,75.8,3.3,2.2,204418.0,57.8,19050.0,24.7
Hubbardston,31.8,7.3,3.0,102344.0,17.7,4339.0,-1.3
Hudson,47.3,4.7,4.5,107202.0,49.0,19959.0,3.6
Hull,51.7,5.3,4.4,127112.0,68.2,10098.0,-2.1
Huntington,30.4,12.6,3.1,94871.0,70.9,2205.0,8.2
Ipswich,57.5,6.5,2.8,124405.0,61.4,13820.0,3.5
Kingston,48.7,2.9,2.2,115863.0,40.2,13782.0,8.8
Lakeville,39.0,5.0,4.0,126182.0,43.6,11732.0,8.6
Lancaster,51.5,3.0,9.4,130444.0,68.2,8470.0,6.0
Lanesborough,38.0,5.7,0.5,84419.0,21.2,3033.0,-0.9
Lawrence,16.4,18.2,8.7,57903.0,76.3,88297.0,14.9
Lee,45.1,6.7,3.6,74222.0,28.7,5751.0,-3.1
Leicester,29.4,3.4,2.3,95776.0,34.8,11076.0,0.0
Lenox,49.5,9.1,8.0,97569.0,91.0,5076.0,1.2
Leominster,32.3,10.1,5.7,81556.0,38.6,43697.0,6.9
Leverett,67.5,9.1,7.2,113750.0,55.8,1704.0,-3.1
Lexington,85.0,4.3,3.0,219402.0,57.2,34085.0,6.9
Leyden,40.3,8.7,4.0,105357.0,40.2,650.0,-5.0
Lincoln,78.7,3.9,0.8,180750.0,43.0,6946.0,7.4
Littleton,61.0,6.0,4.8,146250.0,38.7,10150.0,12.3
Longmeadow,66.1,3.9,6.3,144639.0,36.2,15724.0,-0.7
Lowell,29.9,16.0,5.4,76205.0,54.1,114799.0,6.8
Ludlow,25.3,8.5,4.2,78981.0,29.3,20846.0,-1.9
Lunenburg,44.8,5.2,6.6,109753.0,44.3,11804.0,11.9
Lynn,23.3,13.7,4.6,74715.0,66.6,100905.0,11.1
Lynnfield,61.1,6.1,3.5,172484.0,55.4,12964.0,9.8
Malden,44.9,13.3,5.6,95298.0,77.1,65509.0,9.5
Manchester-by-the-Sea,84.0,2.8,8.9,197875.0,71.1,5368.0,3.5
Mansfield,51.5,4.8,3.2,131409.0,40.5,23855.0,2.4
Marblehead,76.9,3.8,1.9,165859.0,68.6,20334.0,1.9
Marion,45.2,5.9,6.4,120227.0,49.4,5312.0,8.1
Marlborough,40.6,9.2,5.6,95047.0,35.2,41398.0,6.6
Marshfield,52.8,7.6,3.0,125525.0,35.6,25795.0,1.9
Mashpee,44.2,5.0,5.1,95852.0,50.6,15234.0,8.8
Mattapoisett,57.7,3.2,2.6,117308.0,48.7,6563.0,7.8
Maynard,64.2,7.4,4.9,119549.0,54.0,10663.0,4.4
Medfield,76.3,2.3,3.8,214801.0,60.4,12923.0,6.5
Medford,57.6,8.2,4.4,118089.0,60.7,59062.0,4.3
Medway,61.9,3.1,4.1,174357.0,64.3,13251.0,3.0
Melrose,62.0,3.7,4.1,126854.0,48.0,29488.0,8.3
Mendon,53.7,6.0,1.3,129837.0,23.2,6266.0,7.1
Merrimac,36.8,8.3,1.6,116477.0,46.7,6707.0,4.1
Methuen,30.5,8.2,6.3,103270.0,52.9,53043.0,11.2
Middleborough,30.3,7.7,4.8,91914.0,18.4,24360.0,4.8
Middlefield,31.9,12.9,3.0,89063.0,18.5,373.0,-19.6
Middleton,41.6,3.3,2.9,171458.0,64.5,9727.0,6.5
Milford,33.7,8.3,4.8,92726.0,39.8,30304.0,7.8
Millbury,33.4,3.9,3.8,116000.0,61.8,13899.0,4.7
Millis,50.7,4.9,3.8,149021.0,63.1,8699.0,9.4
Millville,31.3,5.9,2.5,115789.0,41.1,3156.0,-1.3
Milton,70.4,4.7,3.7,178053.0,60.3,28481.0,5.1
Monroe,24.2,23.5,0.0,64375.0,74.6,115.0,-1.7
Monson,29.0,12.2,9.4,84067.0,28.8,8126.0,-5.8
Montague,35.9,10.3,6.1,72344.0,59.6,8501.0,0.9
Monterey,54.6,6.6,4.4,131111.0,188.7,1030.0,48.2
Montgomery,38.5,0.9,0.0,125000.0,49.5,873.0,-3.5
Mount Washington,42.4,2.1,4.5,127813.0,122.3,191.0,48.1
Nahant,61.7,6.8,5.1,111004.0,65.8,3328.0,-3.0
Nantucket,58.4,3.0,5.3,119750.0,40.1,14299.0,39.9
Natick,69.4,5.6,3.0,134591.0,41.4,36627.0,8.9
Needham,80.8,3.8,4.5,212241.0,66.1,32059.0,9.6
New Ashford,34.3,5.3,1.5,81500.0,11.1,244.0,10.9
New Bedford,16.8,19.9,7.6,56025.0,55.6,100731.0,6.1
New Braintree,36.8,11.8,2.6,99375.0,20.4,925.0,-12.2
New Marlborough,47.3,2.9,4.0,94038.0,44.1,1675.0,8.5
New Salem,36.1,9.9,1.4,78611.0,8.2,1058.0,-4.3
Newbury,54.7,5.1,1.7,176196.0,92.2,6729.0,-0.0
Newburyport,65.9,5.1,5.8,144259.0,83.4,18444.0,5.0
Newton,80.7,4.7,3.3,184989.0,55.3,88504.0,2.6
Norfolk,58.5,2.1,4.7,197379.0,47.2,11556.0,1.3
North Adams,27.0,18.1,6.1,48521.0,26.6,12660.0,-7.3
North Andover,60.7,7.7,3.4,134319.0,39.9,31024.0,8.2
North Attleborough,46.8,5.4,5.8,109426.0,,30842.0,
North Brookfield,26.5,11.6,4.0,81010.0,48.8,4739.0,0.7
North Reading,55.5,2.8,4.2,150820.0,36.1,15634.0,3.7
Northampton,61.3,12.5,5.3,78467.0,35.3,28640.0,0.2
Northborough,67.4,3.6,5.9,174358.0,60.8,15694.0,8.0
Northbridge,34.9,8.2,6.7,103355.0,55.3,16358.0,3.2
Northfield,43.4,8.4,3.3,102470.0,69.1,2875.0,-5.2
Norton,45.8,4.8,3.5,127404.0,57.2,19155.0,-0.3
Norwell,65.3,3.1,2.4,182637.0,60.3,11309.0,7.1
Norwood,53.1,8.2,3.5,97110.0,27.8,31380.0,9.3
Oak Bluffs,46.9,5.8,12.4,117927.0,68.8,5370.0,17.7
Oakham,38.9,6.1,3.1,96207.0,12.4,1623.0,-11.7
Orange,15.8,21.3,10.8,54105.0,20.7,7583.0,-3.0
Orleans,59.0,10.8,3.1,98798.0,63.8,6342.0,7.9
Otis,37.5,2.4,5.6,104089.0,75.6,1678.0,18.1
Oxford,27.8,5.1,4.8,104000.0,49.0,13349.0,-2.8
Palmer,24.0,8.6,3.6,78789.0,55.5,12372.0,1.8
Paxton,53.8,1.6,3.3,133750.0,25.7,4996.0,3.6
Peabody,33.9,6.5,4.8,95278.0,48.1,54180.0,5.2
Pelham,68.1,10.7,6.5,121667.0,47.3,1332.0,-1.6
Pembroke,45.7,4.3,3.0,141332.0,62.7,18335.0,2.3
Pepperell,44.5,6.6,3.2,126976.0,56.4,11656.0,0.1
Peru,25.8,4.6,3.0,83125.0,22.6,631.0,-27.6
Petersham,42.9,8.9,3.9,107656.0,47.6,1173.0,-3.5
Phillipston,27.0,6.4,10.7,92027.0,27.8,1915.0,7.7
Pittsfield,34.2,13.6,7.6,68386.0,62.4,43559.0,-2.0
Plainfield,47.1,14.4,0.6,78750.0,22.7,623.0,3.7
Plainville,42.7,8.2,8.5,95625.0,24.0,9872.0,17.1
Plymouth,45.0,6.1,6.0,111975.0,46.2,62656.0,10.0
Plympton,35.6,9.2,5.2,119750.0,28.0,2934.0,3.5
Princeton,62.1,4.4,1.3,150577.0,24.8,3500.0,2.2
Provincetown,61.5,11.9,9.0,104500.0,154.0,3681.0,24.2
Quincy,48.6,11.4,7.1,95711.0,56.1,101361.0,9.5
Randolph,34.7,7.4,7.9,103129.0,,34683.0,
Raynham,40.2,9.1,5.6,117950.0,46.7,15273.0,13.8
Reading,65.1,2.7,3.0,163725.0,55.2,25448.0,2.0
Rehoboth,41.6,5.1,3.5,126161.0,52.9,12809.0,9.8
Revere,24.7,12.4,7.2,81121.0,56.4,59933.0,14.1
Richmond,59.4,12.9,2.3,96923.0,13.2,1392.0,-6.5
Rochester,41.6,5.2,2.9,119239.0,36.5,5770.0,8.9
Rockland,34.3,7.5,3.9,101475.0,53.0,17709.0,0.9
Rockport,57.2,3.6,9.1,93227.0,40.4,6977.0,-0.9
Rowe,24.5,14.5,3.2,87917.0,63.6,469.0,-4.9
Rowley,51.2,1.4,3.3,117177.0,40.8,6214.0,5.1
Royalston,27.0,13.3,5.1,101705.0,67.4,1500.0,29.2
Russell,28.8,4.4,2.3,105833.0,56.7,1264.0,-23.4
Rutland,41.8,2.1,4.4,155504.0,79.8,9202.0,14.0
Salem,49.6,13.7,5.2,85137.0,52.6,44241.0,5.5
Salisbury,43.9,4.9,7.0,102521.0,42.1,9217.0,9.8
Sandisfield,29.8,3.8,1.4,88250.0,57.8,888.0,-4.5
Sandwich,49.6,6.4,3.3,118799.0,43.8,20422.0,-0.9
Saugus,31.4,6.4,3.6,100819.0,32.1,28599.0,5.7
Savoy,23.7,14.6,4.7,55000.0,-2.7,733.0,8.6
Scituate,66.7,2.4,3.5,131861.0,33.1,19145.0,5.3
Seekonk,43.3,4.4,6.0,116310.0,63.9,15573.0,11.8
Sharon,76.0,3.9,2.9,183724.0,46.2,18478.0,4.1
Sheffield,37.8,8.4,4.0,83889.0,62.1,3328.0,2.6
Shelburne,53.8,10.1,4.6,79676.0,43.6,1476.0,-20.3
Sherborn,81.2,1.8,6.3,247500.0,61.3,4404.0,5.6
Shirley,35.6,2.1,4.2,121875.0,85.0,7017.0,-5.6
Shrewsbury,65.6,3.8,2.9,136225.0,47.9,38440.0,7.2
Shutesbury,69.7,4.5,8.1,108021.0,54.9,1867.0,4.9
