District Name,District Code,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
Southern Berkshire,07650000,56,37,36,43,35,63,49,41,40,33,49,33,39,39,0,593
Southern Worcester County Regional Vocational School District,08760000,0,0,0,0,0,0,0,0,0,0,322,294,291,273,0,"1,180"
Southwick-Tolland-Granville Regional School District,07660000,48,80,91,88,94,87,90,104,101,95,91,91,90,97,3,"1,250"
Spencer-E Brookfield,07670000,103,114,105,119,110,125,97,126,102,121,103,69,67,76,6,"1,443"
Springfield,02810000,"2,036","1,761","1,629","1,708","1,659","1,676","1,543","1,455","1,522","1,499","1,951","1,794","1,549","1,673",119,"23,574"
Springfield International Charter (District),04410000,0,95,96,108,129,125,129,125,124,135,120,113,132,93,0,"1,524"
Springfield Preparatory Charter School (District),35100000,0,55,53,53,54,54,54,54,54,54,0,0,0,0,0,485
Stoneham,02840000,90,165,195,199,182,189,180,176,169,153,150,146,131,168,3,"2,296"
Stoughton,02850000,105,268,261,277,288,306,241,253,263,261,270,271,256,230,1,"3,551"
Sturbridge,02870000,53,84,84,110,108,115,107,134,0,0,0,0,0,0,0,795
Sturgis Charter Public (District),04890000,0,0,0,0,0,0,0,0,0,0,209,213,207,204,0,833
Sudbury,02880000,68,258,253,272,298,277,244,315,278,272,0,0,0,0,0,"2,535"
Sunderland,02890000,25,18,27,18,27,21,13,24,0,0,0,0,0,0,0,173
Sutton,02900000,49,69,85,104,99,96,98,98,118,102,68,91,80,97,0,"1,254"
Swampscott,02910000,52,134,145,145,168,153,149,147,164,151,148,179,173,170,5,"2,083"
Swansea,02920000,62,143,141,158,149,171,150,163,155,170,127,116,128,132,8,"1,973"
Tantasqua,07700000,0,0,0,0,0,0,0,0,246,282,298,279,280,270,7,"1,662"
Taunton,02930000,354,575,648,635,600,627,576,622,589,666,570,582,573,593,13,"8,223"
TEC Connections Academy Commonwealth Virtual School District,39020000,0,52,64,82,96,115,122,182,226,302,421,460,405,443,0,"2,970"
Tewksbury,02950000,147,273,280,253,305,249,263,257,250,264,202,162,169,189,8,"3,271"
Tisbury,02960000,11,27,26,33,34,38,39,29,29,22,0,0,0,0,0,288
Topsfield,02980000,49,75,60,68,72,87,80,84,0,0,0,0,0,0,0,575
Tri-County Regional Vocational Technical,08780000,0,0,0,0,0,0,0,0,0,0,249,252,248,243,0,992
Triton,07730000,139,161,149,163,176,166,132,174,150,146,132,130,115,143,0,"2,076"
Truro,03000000,17,7,12,9,4,11,8,3,0,0,0,0,0,0,0,71
Tyngsborough,03010000,59,118,111,118,106,136,117,99,132,119,123,78,114,116,0,"1,546"
UP Academy Charter School of Dorchester (District),35050000,53,68,62,63,71,68,73,65,69,58,0,0,0,0,0,650
Up-Island Regional,07740000,8,46,38,31,52,41,50,41,54,47,0,0,0,0,0,408
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,0,0,0,0,0,0,230,225,207,205,0,867
Uxbridge,03040000,78,118,113,123,101,127,111,115,112,134,127,127,122,123,3,"1,634"
Veritas Preparatory Charter School (District),04980000,0,0,0,0,0,0,110,109,107,104,90,97,75,77,0,769
Wachusett,07750000,116,459,498,501,505,538,543,507,537,484,440,424,420,436,19,"6,427"
Wakefield,03050000,145,255,263,272,236,261,285,250,264,277,223,220,217,211,0,"3,379"
Wales,03060000,10,9,16,13,20,8,12,19,0,0,0,0,0,0,0,107
Walpole,03070000,61,276,267,275,285,296,325,307,292,276,213,236,212,235,4,"3,560"
Waltham,03080000,107,426,441,400,441,425,409,420,403,426,467,445,451,454,14,"5,729"
Ware,03090000,55,82,91,91,76,80,79,93,96,74,63,64,58,57,7,"1,066"
Wareham,03100000,73,184,180,169,159,177,141,143,137,150,88,99,127,111,11,"1,949"
Warwick,03120000,10,7,5,4,2,8,7,4,0,0,0,0,0,0,0,47
Watertown,03140000,201,252,226,228,197,229,191,198,199,194,187,173,179,189,0,"2,843"
Wayland,03150000,40,168,166,199,184,217,231,207,202,256,214,193,189,196,0,"2,662"
Webster,03160000,47,146,131,135,149,144,132,149,128,138,150,93,106,81,7,"1,736"
Wellesley,03170000,79,257,272,287,292,318,276,292,302,316,310,288,298,324,11,"3,922"
Wellfleet,03180000,0,13,5,10,14,21,19,0,0,0,0,0,0,0,0,82
West Boylston,03220000,39,54,79,65,74,79,60,71,72,75,47,60,65,61,2,903
West Bridgewater,03230000,34,82,81,101,101,100,124,102,117,108,100,101,105,104,0,"1,360"
West Springfield,03320000,228,239,235,251,283,254,305,286,297,288,332,283,259,290,8,"3,838"
Westborough,03210000,109,245,229,265,247,297,261,295,273,294,260,289,282,294,9,"3,649"
Westfield,03250000,230,311,310,285,311,341,341,349,366,320,390,389,371,401,10,"4,725"
Westford,03260000,99,257,283,296,330,318,361,359,371,368,337,404,377,349,6,"4,515"
Westhampton,03270000,10,10,8,9,16,17,12,10,0,0,0,0,0,0,0,92
Weston,03300000,54,139,147,126,171,171,166,156,157,141,157,153,174,167,0,"2,079"
Westport,03310000,56,114,108,121,120,116,113,122,134,120,101,101,109,74,2,"1,511"
Westwood,03350000,50,210,210,239,215,224,232,188,224,221,202,206,222,196,0,"2,839"
Weymouth,03360000,223,489,432,425,428,430,429,400,377,408,418,397,406,424,13,"5,699"
Whately,03370000,15,20,18,18,19,16,17,18,0,0,0,0,0,0,0,141
Whitman-Hanson,07800000,110,239,247,260,245,288,237,278,258,277,249,218,247,258,12,"3,423"
Whittier Regional Vocational Technical,08850000,0,0,0,0,0,0,0,0,0,0,320,329,326,313,0,"1,288"
Williamsburg,03400000,12,9,12,16,14,18,10,19,0,0,0,0,0,0,0,110
Wilmington,03420000,78,228,224,200,239,230,232,234,215,269,147,168,145,173,0,"2,782"
