district_name,ap_test_takers,hs_enrollment_9_12,ap_participation_pct,graduation_rate_pct,mcas_math_pct
newton,1351.0,3889.0,34.7,95.5,69.0
norfolk,,0,,,56.0
norfolk county agricultural,,599.0,,98.6,
north adams,40.0,234.0,17.1,83.9,22.0
north andover,323.0,1288.0,25.1,96.5,49.0
north attleborough,296.0,969.0,30.5,92.4,51.0
north brookfield,12.0,78.0,15.4,72.0,21.0
north middlesex,143.0,641.0,22.3,88.8,43.0
north reading,226.0,633.0,35.7,97.6,78.0
northampton,326.0,838.0,38.9,92.4,48.0
northampton-smith vocational agricultural,28.0,589.0,4.8,96.6,
northboro-southboro,473.0,1193.0,39.6,97.7,
northborough,,0,,,62.0
northbridge,76.0,460.0,16.5,84.7,37.0
northeast metropolitan regional vocational technical,118.0,1414.0,8.3,98.4,
northern berkshire regional vocational technical,28.0,491.0,5.7,97.7,
norton,166.0,658.0,25.2,93.0,34.0
norwell,251.0,596.0,42.1,97.4,64.0
norwood,249.0,930.0,26.8,96.1,41.0
oak bluffs,,0,,,52.0
old colony regional vocational technical,103.0,554.0,18.6,99.2,
old rochester,186.0,603.0,30.8,96.1,44.0
old sturbridge academy charter public school (district),,0,,,36.0
orange,,0,,,31.0
orleans,,0,,,86.0
oxford,98.0,403.0,24.3,95.2,32.0
palmer,42.0,190.0,22.1,94.9,27.0
pathfinder regional vocational technical,59.0,646.0,9.1,94.2,
peabody,286.0,1320.0,21.7,83.7,33.0
pelham,,0,,,53.0
pembroke,236.0,665.0,35.5,95.4,38.0
pentucket,209.0,565.0,37.0,98.1,49.0
petersham,,0,,,76.0
"phoenix academy charter public high school, chelsea (district)",,194.0,,12.3,
"phoenix academy public charter high school, lawrence (district)",,133.0,,1.9,
"phoenix academy public charter high school, springfield (district)",,175.0,,7.5,
pioneer charter school of science (district),99.0,220.0,45.0,100.0,67.0
pioneer charter school of science ii (district),109.0,235.0,46.4,93.2,56.0
pioneer valley,12.0,107.0,11.2,97.3,47.0
pioneer valley chinese immersion charter (district),1.0,154.0,0.6,100.0,74.0
pioneer valley performing arts charter public (district),4.0,255.0,1.6,94.2,33.0
pittsfield,349.0,1478.0,23.6,79.2,28.0
plainville,,0,,,43.0
plymouth,421.0,2064.0,20.4,91.7,40.0
plympton,,0,,,65.0
prospect hill academy charter (district),70.0,229.0,30.6,93.2,15.0
provincetown,,0,,,60.0
quabbin,116.0,532.0,21.8,83.7,37.0
quaboag regional,91.0,331.0,27.5,91.6,27.0
quincy,563.0,2969.0,19.0,93.9,45.0
ralph c mahar,23.0,327.0,7.0,80.7,21.0
randolph,191.0,709.0,26.9,85.9,22.0
reading,266.0,1062.0,25.0,98.1,61.0
revere,364.0,2075.0,17.5,79.8,27.0
richmond,,0,,,57.0
rising tide charter public (district),19.0,235.0,8.1,92.9,49.0
river valley charter (district),,0,,,64.0
rochester,,0,,,60.0
rockland,157.0,596.0,26.3,85.3,38.0
rockport,47.0,217.0,21.7,91.3,63.0
rowe,,0,,,58.0
roxbury preparatory charter (district),303.0,585.0,51.8,85.6,23.0
salem,249.0,1023.0,24.3,86.3,33.0
salem academy charter (district),107.0,252.0,42.5,95.6,44.0
sandwich,186.0,499.0,37.3,89.4,56.0
saugus,142.0,690.0,20.6,84.1,33.0
savoy,,0,,,31.0
scituate,319.0,696.0,45.8,96.1,64.0
seekonk,156.0,488.0,32.0,96.8,53.0
sharon,377.0,1129.0,33.4,95.7,72.0
shawsheen valley regional vocational technical,,1293.0,,98.1,
sherborn,,0,,,72.0
shrewsbury,500.0,1887.0,26.5,94.5,59.0
shutesbury,,0,,,75.0
silver lake,321.0,1006.0,31.9,97.7,32.0
sizer school: a north central charter essential (district),8.0,167.0,4.8,90.0,26.0
somerset,,0,,,51.0
somerset berkley regional school district,256.0,883.0,29.0,93.7,
somerville,310.0,1422.0,21.8,86.1,40.0
south hadley,105.0,451.0,23.3,92.5,41.0
south middlesex regional vocational technical,94.0,907.0,10.4,97.1,
south shore charter public (district),113.0,321.0,35.2,96.2,37.0
south shore regional vocational technical,7.0,695.0,1.0,98.2,
southampton,,0,,,77.0
southborough,,0,,,74.0
southbridge,41.0,426.0,9.6,78.6,11.0
southeastern regional vocational technical,264.0,1636.0,16.1,99.5,
southern berkshire,24.0,160.0,15.0,90.0,38.0
southern worcester county regional vocational school district,143.0,1180.0,12.1,98.9,
southwick-tolland-granville regional school district,93.0,369.0,25.2,96.5,34.0
spencer-e brookfield,38.0,315.0,12.1,76.0,29.0
