District Name,District Code,Test Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Ipswich,01440000,134,317,52,26,27,17,12
KIPP Academy Lynn Charter (District),04290000,259,528,106,59,74,18,2
King Philip,06900000,417,947,152,110,74,54,27
Lawrence,01490000,634,973,396,155,67,14,2
Lee,01500000,33,48,20,11,2,0,0
Leicester,01510000,65,97,41,18,5,0,1
Lenox,01520000,56,80,39,12,3,2,0
Leominster,01530000,169,315,76,56,25,9,3
Lexington,01550000,"1,266","3,031",343,419,286,129,89
Libertas Academy Charter School (District),35140000,131,213,92,18,10,2,9
Lincoln-Sudbury,06950000,402,684,233,91,48,25,5
Littleton,01580000,134,260,64,38,18,5,9
Longmeadow,01590000,247,608,73,68,52,32,22
Lowell,01600000,241,415,148,42,28,18,5
Ludlow,01610000,142,346,29,59,31,10,13
Lunenburg,01620000,89,154,47,25,12,4,1
Lynn,01630000,528,931,307,100,72,39,10
Lynnfield,01640000,207,529,67,49,34,29,28
Ma Academy for Math and Science,04680000,56,125,16,18,17,4,1
Malden,01650000,354,736,156,92,53,36,17
Manchester Essex Regional,06980000,162,397,41,56,34,18,13
Mansfield,01670000,300,668,103,76,79,34,8
Marblehead,01680000,376,926,113,104,78,45,36
Marlborough,01700000,165,362,62,46,29,19,9
Marshfield,01710000,321,679,116,100,64,34,7
Martha's Vineyard,07000000,200,430,69,67,36,22,6
Masconomet,07050000,243,471,109,59,57,17,1
Mashpee,01720000,138,268,69,28,28,7,6
Match Charter Public School (District),04690000,126,262,56,19,38,11,2
Maynard,01740000,124,252,47,38,30,7,2
Medfield,01750000,254,485,119,73,34,23,5
Medford,01760000,168,312,91,43,14,11,9
Medway,01770000,242,528,95,61,48,27,11
Melrose,01780000,448,960,192,94,89,53,20
Mendon-Upton,07100000,180,418,47,62,41,26,4
Methuen,01810000,395,777,171,127,53,29,15
Middleborough,01820000,182,348,82,48,40,11,1
Milford,01850000,362,702,154,123,54,19,12
Millbury,01860000,99,156,55,34,7,3,0
Millis,01870000,110,181,66,27,9,6,2
Milton,01890000,407,912,148,101,92,46,20
Minuteman Regional Vocational Technical,08300000,79,109,54,21,3,1,0
Mohawk Trail,07170000,36,71,16,9,7,4,0
Monomoy Regional School District,07120000,217,467,68,77,44,27,1
Monson,01910000,27,30,24,3,0,0,0
Montachusett Regional Vocational Technical,08320000,189,286,115,52,21,1,0
Mount Greylock,07150000,130,247,66,30,18,13,3
Nantucket,01970000,141,264,53,60,23,3,2
Narragansett,07200000,80,133,48,16,11,5,0
Nashoba,07250000,286,607,127,70,31,44,14
Nashoba Valley Regional Vocational Technical,08520000,78,127,47,20,4,7,0
Natick,01980000,686,"1,336",364,135,98,50,39
Nauset,06600000,264,578,110,61,42,36,15
Needham,01990000,502,"1,076",184,147,100,58,13
Neighborhood House Charter (District),04440000,51,94,22,19,6,4,0
New Bedford,02010000,405,891,164,94,83,36,28
Newburyport,02040000,196,393,87,52,33,19,5
Newton,02070000,"1,351","3,167",419,392,293,167,80
North Adams,02090000,40,49,31,9,0,0,0
North Andover,02110000,323,680,112,112,60,31,8
